id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled
648,Adderley Park,Adderley Park,7010360,52.483505,-1.854184,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
649,Addiewell,Addiewell,7093100,55.843449,-3.60655,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
650,Addlestone,Addlestone,7055500,51.372414,-0.48571,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
651,Adisham,Adisham,7051600,51.241352,1.199277,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
652,Adlington (Cheshire),Adlington (Cheshire),7029390,53.319542,-2.133571,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
653,Adlington (Lancashire),Adlington (Lancashire),7026410,53.612926,-2.603084,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
654,Adwick,Adwick,7083530,53.572994,-1.181465,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
655,Aigburth,Aigburth,7022550,53.364614,-2.927041,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
656,Ainsdale,Ainsdale,7023500,53.601818,-3.042691,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
657,Aintree,Aintree,7021250,53.473995,-2.956687,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
658,Airbles,Airbles,7096950,55.782504,-3.994447,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
659,Airdrie,Airdrie,7097590,55.864029,-3.982952,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
660,Albany Park,Albany Park,7051320,51.435745,0.126427,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
661,Albrighton,Albrighton,7046140,52.637917,-2.268913,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
662,Alderley Edge,Alderley Edge,7027600,53.303762,-2.236812,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
663,Aldermaston,Aldermaston,7031450,51.402047,-1.136972,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
664,Aldrington,Aldrington,7052800,50.836601,-0.182151,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
665,Alexandra Palace,Alexandra Palace,7060250,51.598225,-0.120129,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
666,Alexandra Parade,Alexandra Parade,7099050,55.863724,-4.211465,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
667,Alexandria,Alexandria,7098610,55.98513,-4.577534,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
668,Allens West,Allens West,7075200,54.524128,-1.363418,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
669,Alloa,Alloa,7098830,56.1179,-3.7872,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
670,Alness,Alness,7086050,57.694477,-4.249743,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
671,Alresford,Alresford,7068470,51.853828,0.997114,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
672,Alsager,Alsager,7012230,53.093054,-2.29861,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
673,Althorne,Althorne,7068690,51.647526,0.753603,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
674,Althorpe,Althorpe,7065320,53.585262,-0.732558,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
675,Altnabreac,Altnabreac,7086060,58.388439,-3.705279,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
676,Alton,Alton,7055440,51.151947,-0.967658,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
677,Altrincham,Altrincham,7028060,53.3874,-2.347212,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
678,Alvechurch,Alvechurch,7011980,52.346607,-1.967854,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
679,Ambergate,Ambergate,7016780,53.060501,-1.4807,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
680,Amberley,Amberley,7052500,50.896507,-0.542446,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
681,Amersham,Amersham,7005060,51.67439,-0.60613,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
682,Ammanford,Ammanford,7042360,51.795933,-3.996783,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
683,Ancaster,Ancaster,7063580,52.987888,-0.535596,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
684,Anderston,Anderston,7099650,55.859924,-4.271969,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
685,Anerley,Anerley,7053970,51.41163,-0.064348,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
686,Angel Road,Angel Road,7069090,51.612354,-0.048763,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
687,Angmering,Angmering,7052670,50.816704,-0.489559,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
688,Anniesland,Anniesland,7099720,55.889553,-4.321684,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
689,Ansdell & Fairhaven,Ansdell & Fairhaven,7026620,53.741558,-2.993077,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
690,Appledore (Kent),Appledore (Kent),7050030,51.032623,0.816826,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
691,Appleford,Appleford,7031090,51.639562,-1.242375,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
692,Appley Bridge,Appley Bridge,7023960,53.579029,-2.718906,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
693,Apsley,Apsley,7014300,51.732712,-0.463568,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
694,Ardgay,Ardgay,7086130,57.881119,-4.362604,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
695,Ardrossan Harbour,Ardrossan Harbour,7094530,55.640854,-4.823461,26717,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
696,Ardrossan South Beach,Ardrossan South Beach,7095690,55.640495,-4.799593,26717,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
697,Ardrossan Town,Ardrossan Town,7094550,55.639313,-4.812212,26717,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
698,Ardwick,Ardwick,7029600,53.47134,-2.213893,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
699,Argyle Street,Argyle Street,7099610,55.855938,-4.244574,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
700,Arisaig,Arisaig,7088210,56.912617,-5.839141,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
701,Arlesey,Arlesey,7061710,52.025938,-0.266178,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
702,Armadale,Armadale,7009900,55.88639,-3.68504,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
703,Armathwaite,Armathwaite,7020540,54.809611,-2.77209,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
704,Arram,Arram,7080450,53.884567,-0.426833,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
705,Arundel,Arundel,7052510,50.848003,-0.546796,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
706,Ascott-Under-Wychwood,Ascott-Under-Wychwood,7030030,51.867376,-1.564136,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
707,Ash,Ash,7056410,51.249222,-0.711856,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
708,Ash Vale,Ash Vale,7055470,51.272709,-0.721247,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
709,Ashburys,Ashburys,7029410,53.471761,-2.194991,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
710,Ashchurch for Tewkesbury,Ashchurch for Tewkesbury,7047000,51.997158,-2.10921,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
711,Ashfield,Ashfield,7099530,55.889214,-4.2433,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
712,Ashford Surrey,Ashford Surrey,7056670,51.436047,-0.469229,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
713,Ashley,Ashley,7028500,53.355984,-2.341029,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
714,Ashtead,Ashtead,7053470,51.317822,-0.308126,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
715,Ashton-Under-Lyne,Ashton-Under-Lyne,7027900,53.491264,-2.093415,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
716,Ashurst Kent,Ashurst Kent,7053980,51.128601,0.152298,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
717,Ashurst New Forest,Ashurst New Forest,7059060,50.888865,-1.525097,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
718,Ashwell & Morden,Ashwell & Morden,7060830,52.030586,-0.10934,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
719,Askam,Askam,7019530,54.189049,-3.204545,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
720,Aslockton,Aslockton,7062330,52.951351,-0.898541,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
721,Aspatria,Aspatria,7020950,54.759338,-3.331752,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
